assessment_id,name,url,category,job_levels,skills,description,score,why
A008,Technical Skills Assessments,https://www.shl.com/products/assessments/skills-and-simulations/technical-skills/,Skills & Simulations,All Levels,"technical skills, cloud, data engineering, devops",MCQ-based assessments covering 200+ technical skills across domains.,0.17412021321416538,data
A007,SHL Cognitive Assessments,https://www.shl.com/products/assessments/cognitive-assessments/,Cognitive,All Levels,"cognitive ability, reasoning, learning potential",Measures learning potential reasoning and ability to perform in any role.,0.05,
A009,Coding Simulations,https://www.shl.com/products/assessments/skills-and-simulations/coding-simulations/,Skills & Simulations,All Levels,"coding, algorithms, problem solving",Real-life coding problems solved in an online IDE to assess programming ability.,0.03,
A018,Job-Focused Assessment – Professional Roles,https://www.shl.com/solutions/talent-acquisition/professional/,Job Focused,Mid Level,"professional skills, problem solving, reskilling",Evaluates job-specific skills and reskilling potential.,0.03,
A001,Realistic Job and Culture Previews (RJP),https://www.shl.com/products/assessments/behavioral-assessments/realistic-job-and-culture-previews-rjp/,Behavioral,All Levels,"role preview, culture fit, engagement, expectation setting",Scenario-based previews that help candidates understand role expectations and cultural fit.,0.0,
A017,Job-Focused Assessment – Graduate Roles,https://www.shl.com/solutions/talent-acquisition/graduate/,Job Focused,Entry Level,"learning agility, potential, adaptability",Measures learning agility and future potential for graduates.,0.0,
A016,Job-Focused Assessment – Manufacturing,https://www.shl.com/solutions/talent-acquisition/volume-hiring/manufacturing-hiring/,Job Focused,Entry Level,"safety, reliability, quality focus",Assesses reliability safety awareness and quality focus.,0.0,
A015,Job-Focused Assessment – Retail,https://www.shl.com/solutions/talent-acquisition/volume-hiring/retail-hiring/,Job Focused,Entry Level,"customer focus, adaptability, teamwork",Evaluates customer focus and adaptability for retail roles.,0.0,
A014,Job-Focused Assessment – Contact Center,https://www.shl.com/solutions/talent-acquisition/volume-hiring/contact-center-hiring/,Job Focused,Entry Level,"customer service, resilience, communication",Predicts success in contact center roles using role-specific skills.,0.0,
A013,Job-Focused Assessments (JFA),https://www.shl.com/products/assessments/job-focused-assessments/,Job Focused,All Levels,"job readiness, role fit, performance prediction",Short job-relevant assessments predicting role readiness and success.,0.0,
